year,leaid,lea_name,fips,state_leaid,street_mailing,city_mailing,state_mailing,zip_mailing,zip4_mailing,street_location,city_location,state_location,zip_location,zip4_location,phone,latitude,longitude,urban_centric_locale,cbsa,cbsa_type,csa,cmsa,necta,county_code,county_name,congress_district_id,bureau_indian_education,supervisory_union_number,agency_type,agency_level,boundary_change_indicator,agency_charter_indicator,lowest_grade_offered,highest_grade_offered,number_of_schools,enrollment,spec_ed_students,english_language_learners,migrant_students,teachers_prek_fte,teachers_kindergarten_fte,teachers_elementary_fte,teachers_secondary_fte,teachers_ungraded_fte,teachers_total_fte,instructional_aides_fte,coordinators_fte,guidance_counselors_elem_fte,guidance_counselors_sec_fte,guidance_counselors_other_fte,guidance_counselors_total_fte,librarian_specialists_fte,librarian_support_staff_fte,lea_administrators_fte,lea_admin_support_staff_fte,school_administrators_fte,school_admin_support_staff_fte,support_staff_students_fte,support_staff_other_fte,staff_total_fte,lea_staff_total_fte,other_staff_fte,school_staff_total_fte,school_counselors_fte,state_leg_district_lower,state_leg_district_upper,school_psychologists_fte,support_staff_stu_wo_psych_fte
2023,0500033,GREAT RIVERS EDUC. SERV. COOP,5,AR-5420000,P O BOX 2837,WEST HELENA,AR,72390,00,100 CAMPUS DR,HELENA,AR,72342,00,(870)338-6461,34.545359,-90.619501,33,-2,-2,-2,NA,NA,5107,Phillips County,501,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,0,17,0,0,NA,0,0,0,1,9,0,0,1,4,32,27,4,1,NA,05062,05009,0,1
2023,0500034,CROWLEY'S RIDGE EDUCATION COOP,5,AR-5620000,1606 PINE GROVE LN,HARRISBURG,AR,72432,00,1606 PINE GROVE LN,HARRISBURG,AR,72432,00,(870)578-5426,35.582213,-90.717446,42,27860,1,308,NA,NA,5111,Poinsett County,501,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,16,36,0,0,NA,0,0,0,4,13,0,0,13,8,90,53,8,29,NA,05038,05019,1,12
2023,0500035,ARK. SCHOOL FOR THE BLIND,5,AR-6091000,2600 W MARKHAM ST,LITTLE ROCK,AR,72203,00,2600 W MARKHAM ST,LITTLE ROCK,AR,72203,00,(501)296-1810,34.752798,-92.303108,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,5,4,1,NA,0,12,2,67,NA,NA,NA,1,1,13,6,3,26,19,2,0,0,NA,0,1,0,3,12,1,0,16,9,92,18,9,37.9,NA,05074,05014,0,16.9
2023,0500036,ARK. SCHOOL FOR THE DEAF,5,AR-6092000,P O BOX 3811,LITTLE ROCK,AR,72203,00,2400 W MARKHAM ST,LITTLE ROCK,AR,72205,00,(501)324-9506,34.7519,-92.2987,12,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,5,4,1,NA,0,12,1,102,NA,NA,NA,0,1,13,16,3,34,44,0,0,0,NA,0,0,0,2,7,1,0,15,3,106,9,3,60,NA,05074,05014,0,15
2023,0500037,DEQUEEN/MENA EDUC. COOP,5,AR-6720000,P O BOX 110,GILLHAM,AR,71841,00,305 S HORNBERG AVE,GILLHAM,AR,71841,00,(870)386-2251,34.171998,-94.315575,42,-2,-2,-2,NA,NA,5133,Sevier County,504,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,32,32,0,0,NA,0,0,1,4,2,0,0,7,2,80,38,2,40,NA,05087,05004,0,7
2023,0500039,NORTHWEST ARK. EDUCATION COOP,5,AR-7221000,4 N DOUBLE SPRINGS RD,FARMINGTON,AR,72730,00,4 N DOUBLE SPRINGS RD,FARMINGTON,AR,72730,00,(479)267-7450,36.042529,-94.253134,21,22220,1,-2,NA,NA,5143,Washington County,503,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,13,10,0,0,NA,0,0,0,2,15,0,0,26,2,68,27,2,39.8,NA,05022,05035,0,26.8
2023,0500040,WILBUR D. MILLS EDUC. COOP,5,AR-7320000,P O BOX 850,BEEBE,AR,72012,00,210 N MAIN,BEEBE,AR,72012,00,(501)882-5467,35.070905,-91.880109,31,42620,2,340,NA,NA,5145,White County,502,NA,,4,-2,1,NA,-2,-2,0,NA,NA,NA,NA,0,0,0,0,0,0,3,24,0,0,NA,0,0,0,2,30,0,0,17,2,78,56,2,20,NA,05059,05018,2,15
2023,0500041,WESTERN YELL CO. SCHOOL DIST.,5,AR-7509000,P O BOX 214,HAVANA,AR,72842,00,1 WOLVERINE DR,HAVANA,AR,72842,00,(479)476-4116,35.108888,-93.524271,43,40780,2,-2,NA,NA,5149,Yell County,504,NA,,1,4,1,NA,0,12,2,290,NA,NA,NA,2,2,12,16,2,35,8,0,1,1,NA,2,1,0,2,3,2,3,8,15,80,5,15,22.65,NA,05052,05005,0,8
2023,0500042,HAMBURG SCHOOL DISTRICT,5,AR-0203000,202 E PARKER ST,HAMBURG,AR,71646,00,202 E PARKER ST,HAMBURG,AR,71646,00,(870)853-9851,33.223896,-91.796284,42,-2,-2,-2,NA,NA,5003,Ashley County,504,NA,,1,4,1,NA,-1,12,5,1555,NA,NA,NA,4,6,53,41,3,108,42,2,2,2,NA,4,5,0,4,9,10,16,29,43,272,15,43,102,NA,05095,05001,0,29
2023,0500043,MOUNTAIN HOME SCHOOL DISTRICT,5,AR-0303000,2465 RODEO DR,MOUNTAIN HOME,AR,72653,00,2465 RODEO DR,MOUNTAIN HOME,AR,72653,00,(870)425-1201,36.33176,-92.40296,33,34260,2,-2,NA,NA,5005,Baxter County,501,NA,,1,4,1,NA,0,12,6,3839,NA,NA,NA,0,17,126,112,14,271,65,1,4,9,NA,13,5,1,4,22,14,25,52,106,580,27,106.54,162.5,NA,05003,05023,0,52
2023,0500044,MAGNOLIA SCHOOL DISTRICT,5,AR-1402000,P O BOX 649,MAGNOLIA,AR,71754,00,1400 HIGH SCHOOL DR,MAGNOLIA,AR,71753,00,(870)234-4933,33.278981,-93.223896,33,31620,2,-2,NA,NA,5027,Columbia County,504,NA,,1,4,1,NA,-1,12,5,2631,NA,NA,NA,0,10,99,71,6,188,36,25,4,5,NA,9,4,1,2,17,14,17,46,59,421,44,59.19,119.43,NA,05099,05003,0,46.57
2023,0500045,RIVERCREST SCHOOL DISTRICT,5,AR-4706000,22 JEFFERSON,WILSON,AR,72395,00,22 JEFFERSON,WILSON,AR,72395,00,(870)655-8633,35.612581,-90.106985,42,14180,2,-2,NA,NA,5093,Mississippi County,501,NA,,1,4,1,NA,-1,12,3,1170,NA,NA,NA,3,4,37,72,4,121,36,3,1,1,NA,3,2,0,1,5,4,7,21,19,223,10,19,70,NA,05034,05019,0,21
2023,0500046,MANILA SCHOOL DISTRICT,5,AR-4712000,P O BOX 670,MANILA,AR,72442,00,419 E OLYMPIA ST,MANILA,AR,72442,00,(870)561-4419,35.879318,-90.157679,43,14180,2,-2,NA,NA,5093,Mississippi County,501,NA,,1,4,1,NA,-1,12,2,1106,NA,NA,NA,2,4,37,32,2,78,12,0,1,1,NA,2,1,0,2,6,3,8,10,25,151,8,25.13,36.34,NA,05033,05019,0,10.13
2023,0500047,TRUMANN SCHOOL DISTRICT,5,AR-5605000,221 PINE AVE,TRUMANN,AR,72472,00,221 PINE AVE,TRUMANN,AR,72472,00,(870)483-6444,35.673161,-90.5186,31,27860,1,308,NA,NA,5111,Poinsett County,501,NA,,1,4,1,NA,-1,12,4,1545,NA,NA,NA,4,8,52,29,4,98,23,3,2,2,NA,4,3,1,3,11,10,7,7,12,182,17,12,51,NA,05036,05019,0,7
2023,0500048,EAST POINSETT CO. SCHOOL DIST.,5,AR-5608000,502 MCCLELLAN ST,LEPANTO,AR,72354,00,502 MCCLELLAN ST,LEPANTO,AR,72354,00,(870)475-2472,35.610312,-90.341965,42,27860,1,308,NA,NA,5111,Poinsett County,501,NA,,1,4,1,NA,0,12,3,553,NA,NA,NA,4,3,21,21,3,54,15,1,1,1,NA,2,2,0,1,3,3,4,3,15,103,5,15,27,NA,05036,05019,0,3
2023,0500049,DEQUEEN SCHOOL DISTRICT,5,AR-6701000,P O BOX 950,DE QUEEN,AR,71832,00,101 N NINTH ST,DE QUEEN,AR,71832,00,(870)584-4312,34.037054,-94.347714,33,-2,-2,-2,NA,NA,5133,Sevier County,504,NA,,1,4,1,NA,0,12,5,2354,NA,NA,NA,0,14,87,76,8,186,47,5,3,4,NA,7,5,0,3,8,11,16,23,40,353,16,40,103.39,NA,05087,05004,0,23.64
2023,0500051,PALESTINE-WHEATLEY SCH. DIST.,5,AR-6205000,P O BOX 790,PALESTINE,AR,72372,00,7950 HWY 70 W,PALESTINE,AR,72372,00,(870)581-2646,34.969504,-90.904465,42,22620,2,368,NA,NA,5123,St. Francis County,501,NA,,1,4,1,NA,-1,12,2,815,NA,NA,NA,1,3,30,71,3,109,11,8,1,2,NA,3,2,0,1,4,2,0,10,13,163,13,13.1,25.01,NA,05037,05010,0,10
2023,0500052,SOUTH ARK CAREER CENTER,5,AR-7022000,P O BOX 7010,EL DORADO,AR,71730,00,3696 E MAIN RD,EL DORADO,AR,71730,00,(870)864-7110,33.218546,-92.614431,33,20980,2,-2,NA,NA,5139,Union County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05097,05002,NA,NA
2023,0500053,WESTARK TECHNICAL CENTER,5,AR-6622000,P O BOX 3649,FORT SMITH,AR,72913,00,5210 GRAND AVE,FORT SMITH,AR,72913,00,(479)788-7720,35.381359,-94.374706,13,22900,1,-2,NA,NA,5131,Sebastian County,503,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05049,05027,NA,NA
2023,0500054,ASU THREE RIVERS CAREER CENTER,5,AR-3022000,P O BOX 816,MALVERN,AR,72104,00,1 COLLEGE CIR,MALVERN,AR,72104,00,(501)332-3658,34.378662,-92.821865,31,31680,2,284,NA,NA,5059,Hot Spring County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05029,05007,NA,NA
2023,0500055,ARKANSAS ARTS ACADEMY,5,AR-0440700,8 HALSTED CIR STE 5,ROGERS,AR,72756,00,8 HALSTED CIR STE 5,ROGERS,AR,72756,00,(479)636-2272,36.331445,-94.131441,13,22220,1,-2,NA,NA,5007,Benton County,503,NA,,7,4,1,NA,0,12,2,1004,NA,NA,NA,0,4,45,49,4,104,8,11,1,2,NA,3,1,0,2,3,5,6,15,16,175,16,16,35.25,NA,05015,05032,0,15.25
2023,0500056,ASU BEEBE REGIONAL CAREER CENTER - SEARCY,5,AR-7322000,P O BOX 909,SEARCY,AR,72145,00,1800 E MOORE,SEARCY,AR,72145,00,(501)724-3614,35.255923,-91.714753,32,42620,2,340,NA,NA,5145,White County,502,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05058,05018,NA,NA
2023,0500057,NATIONAL PARK TECHNOLOGY CENTER,5,AR-2622000,P O BOX 3950,HOT SPRINGS,AR,71914,00,101 COLLEGE DR,HOT SPRINGS,AR,71913,00,(501)767-9314,34.511801,-93.119103,23,26300,1,284,NA,NA,5051,Garland County,504,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05085,05006,NA,NA
2023,0500058,UA-PTC TECHNICAL CENTER,5,AR-6322000,16936 Interstate 30 North,Benton,AR,72019,00,16936 Interstate 30 North,Benton,AR,72019,00,(501)812-2200,34.575767,-92.58791,21,30780,1,340,NA,NA,5125,Saline County,502,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05083,05016,NA,NA
2023,0500059,ACADEMICS PLUS PUBLIC CHARTER SCHOOLS,5,AR-6040700,900 EDGEWOOD DR,MAUMELLE,AR,72113,00,900 EDGEWOOD DR,MAUMELLE,AR,72113,00,(501)851-3333,34.862613,-92.404537,21,30780,1,340,NA,NA,5119,Pulaski County,502,NA,,7,4,1,NA,0,12,4,1921,NA,NA,NA,0,10,62,31,3,107,13,3,2,3,NA,5,0,0,4,9,8,8,7,23,188,16,23.26,36.99,NA,05071,05013,0,7
2023,0500060,NORTH ARKANSAS COLLEGE SECONDARY CENTER,5,AR-0522000,1515 PIONEER DR,HARRISON,AR,72675,00,1515 PIONEER DR,HARRISON,AR,72601,00,(870)391-3513,36.247827,-93.110169,33,25460,2,-2,NA,NA,5009,Boone County,501,NA,,8,3,1,NA,9,12,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,05005,05028,NA,NA
2023,0500061,IMBODEN CHARTER SCHOOL DISTRICT,5,AR-3840700,P O BOX 297,IMBODEN,AR,72434,00,605 W 3RD ST,IMBODEN,AR,72434,00,(870)869-3015,36.204336,-91.180089,43,-2,-2,-2,NA,NA,5075,Lawrence County,501,NA,,7,1,1,NA,0,8,1,68,NA,NA,NA,0,1,3,0,0,5,1,1,1,0,NA,1,0,0,1,2,0,0,1,5,18,4,5.5,2.25,NA,05028,05022,0,1
